FRUITY	CITRUS	BLOOD ORANGE	BLOOD ORANGE
SPICY	SPICE	ROASTED VANILLA	ROASTED VANILLA	
SPICY	SPICE	ROASTED WOOD SPICE	ROASTED WOOD SPICE	
SPICY	SPICE	ROSEMARY	ROSEMARY	
SPICY	SPICE	ROSEMARY-ACCENTED	ROSEMARY	
SPICY	SPICE	SEA SALT	SEA SALT	
SPICY	SPICE	SINGED WOOD SPICE	SINGED WOOD SPICE	
SPICY	SPICE	SMOKY CRACKED PEPPER	SMOKY CRACKED PEPPER	
SPICY	SPICE	SPICE	SPICE	
SPICY	SPICE	SPICE CAKE	SPICE CAKE	
SPICY	SPICE	SPICE-FILLED	SPICE	
SPICY	SPICE	SPICED	SPICE	
SPICY	SPICE	SPICINESS	SPICY	
SPICY	SPICE	SPICY	SPICE	
SPICY	SPICE	SPICY OAK	SPICY OAK	
SPICY	SPICE	STAR ANISE	STAR ANISE	
SPICY	SPICE	SWEET PEPPERS	SWEET PEPPERS	
SPICY	SPICE	SWEET SPICE	SWEET SPICE	
SPICY	SPICE	SWEET SPICE NOTES	SWEET SPICE	
SPICY	SPICE	TIERS OF ANISE	ANISE	
SPICY	SPICE	TOASTY SAGE	TOASTY SAGE	
SPICY	SPICE	TOASTY SPICE	TOASTY SPICE	
SPICY	SPICE	WELL-SPICED	SPICE	
SPICY	SPICE	WHITE PEPPER	WHITE PEPPER	
SPICY	SPICE	WHITE PEPPER-ACCENTED	WHITE PEPPER	
SPICY	SPICE	WILD ANISE	ANISE	
OVERALL	TANNINS	BIG TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	CARESSING TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	CHEWY	TANNINS_HIGH	
OVERALL	TANNINS	CHEWY TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	CHEWY WINE	TANNINS_HIGH	
OVERALL	TANNINS	COATS THE PALATE	TANNINS_HIGH	
OVERALL	TANNINS	COMPLEX TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	CREAMY TANNINS	TANNINS_MED	
OVERALL	TANNINS	CRISP TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	DELICATE TANNINS	TANNINS_LOW	
OVERALL	TANNINS	DENSE TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	DETAILED TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	DUSTY TANNINS	TANNINS_MED	
OVERALL	TANNINS	EMBEDDED TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	FINE TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	FINE-GRAINED TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	FINELY KNIT TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	FINELY POLISHED TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	FINELY WOVEN TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	FIRM INTEGRATED TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	FIRM TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	FIRMLY TANNIC	TANNINS_HIGH	
OVERALL	TANNINS	FLESHY TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	FULL TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	GRACEFUL TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	GRAINY TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	GRIPPING TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	GRIPPY TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	INTEGRATED TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	LAYERED TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	LAYERS OF TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	LIGHT TANNIC GRIP	TANNINS_LOW	
OVERALL	TANNINS	LIGHT TANNINS	TANNINS_LOW	
OVERALL	TANNINS	LIGHTLY CHEWY TANNINS	TANNINS_LOW	
OVERALL	TANNINS	LOTS OF TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	LUSCIOUS TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	LUSH TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	MASSIVE TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	MEDIUM FINE TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	MEDIUM TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	MEDIUM-GRAINED TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	MODERATELY TANNIC	TANNINS_MEDIUM	
OVERALL	TANNINS	MOUTHCARESSING TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	MOUTHCOATING TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	MUSCULAR TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	NUBBY TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	PILLOWY TANNINS	TANNINS_LOW	
OVERALL	TANNINS	PLUSH TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	POLISHED TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	REFINED TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	RICH TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	RIPE TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	ROUND TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	SILKY TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	SINUOUS TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	SLEEK FRAME OF TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	SOFT TANNINS	TANNINS_LOW	
OVERALL	TANNINS	SOFTENING TANNINS	TANNINS_LOW	
OVERALL	TANNINS	SOLID TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	STURDY TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	SUBSTANTIAL TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	SUPERFINE TANNINS	TANNINS_LOW	
OVERALL	TANNINS	SUPERSOFT TANNINS	TANNINS_LOW	
OVERALL	TANNINS	SUPPLE TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	SUPPORTIVE TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	TANNIC	TANNINS_LOW	
OVERALL	TANNINS	TANNIC BACKBONE	TANNINS_HIGH	
OVERALL	TANNINS	TANNIC BASE	TANNINS_LOW	
OVERALL	TANNINS	TANNIC STRENGTH	TANNINS_HIGH	
OVERALL	TANNINS	TANNINS	TANNINS_LOW	
OVERALL	TANNINS	TANNINS ARE BIG	TANNINS_HIGH	
OVERALL	TANNINS	TANNINS ARE FIRM	TANNINS_HIGH	
OVERALL	TANNINS	TANNINS ARE SUBDUED	TANNINS_LOW	
OVERALL	TANNINS	TANNINS SUBMERGE EASILY	TANNINS_MEDIUM	
OVERALL	TANNINS	THICK TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	TIGHTLY WOUND TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	TONGUE-COATING	TANNINS_HIGH	
OVERALL	TANNINS	ULTRAFINE TANNINS	TANNINS_LOW	
OVERALL	TANNINS	ULTRARIPE TANNINS	TANNINS_LOW	
OVERALL	TANNINS	UNDERLYING TANNIC GRIP	TANNINS_LOW	
OVERALL	TANNINS	VELVETY TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	VELVETY TEXTURED TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	VERY SOFT TANNINS	TANNINS_LOW	
OVERALL	TANNINS	VIBRANT TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	WALL OF TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	WELL-COATED TANNINS	TANNINS_HIGH	
OVERALL	TANNINS	WELL-DELINEATED TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	WELL-INTEGRATED TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	WELL-KNIT TANNINS	TANNINS_MEDIUM	
OVERALL	TANNINS	ZESTY TANNINS	TANNINS_HIGH	
OVERALL	BODY	BUILT CORE	CORE	
OVERALL	BODY	CENTER CORE	CORE	
OVERALL	BODY	CORE	CORE	
OVERALL	BODY	DARK RED	DARK RED	
OVERALL	BODY	DARK RUBY	DARK RUBY	
OVERALL	BODY	DARK-HUED	DARK-WINE	
OVERALL	BODY	DARK-TONED	DARK-WINE	
OVERALL	BODY	DEEP PURPLE	DEEP PURPLE	
OVERALL	BODY	DEEPLY COLORED	DEEPLY COLORED	
OVERALL	BODY	DENSE	DENSE	
OVERALL	BODY	DENSE CLOUD	DENSE	
OVERALL	BODY	DENSE CORE	CORE	
OVERALL	BODY	DENSELY	DENSE	
OVERALL	BODY	DENSELY FLAVORED	DENSE	
OVERALL	BODY	DENSITY	DENSE	
OVERALL	BODY	FIRM CORE	CORE	
OVERALL	BODY	FLINTY WHITE	FLINTY WHITE	
OVERALL	BODY	FRAME	FRAME	
OVERALL	BODY	FULL BODY	FULL-BODIED	
OVERALL	BODY	FULL-BODIED	FULL-BODIED	
OVERALL	BODY	FULL-BODIED FLAVORS	FULL-BODIED	
OVERALL	BODY	GOLDEN YELLOW	GOLDEN YELLOW	
OVERALL	BODY	INKY DARK	DARK-WINE	
OVERALL	BODY	LIGHT	LIGHT-BODIED	
OVERALL	BODY	LIGHT WEIGHT	LIGHT-BODIED	
OVERALL	BODY	LIGHT-BODIED	LIGHT-BODIED	
OVERALL	BODY	MEDIUM BODY	MEDIUM-BODIED	
OVERALL	BODY	MEDIUM-BODIED	MEDIUM-BODIED	
OVERALL	BODY	MEDIUM-TO-FULL BODY	MEDIUM-FULL-BODIED	
OVERALL	BODY	MEDIUM-WEIGHT	MEDIUM-BODIED	
OVERALL	BODY	MODERATE WEIGHT	MEDIUM-BODIED	
OVERALL	BODY	MORE DENSE	DENSE	
OVERALL	BODY	NICELY WOUND	NICELY WOUND	
OVERALL	BODY	NICELY WOUND CORE	CORE	
OVERALL	BODY	NOT HEAVY	LIGHT-BODIED	
OVERALL	BODY	PURPLE	PURPLE	
OVERALL	BODY	PURPLE COLOR	PURPLE	
OVERALL	BODY	RED	RED	
OVERALL	BODY	ROUND	ROUND	
OVERALL	BODY	ROUNDED	ROUND	
OVERALL	BODY	ROUNDNESS	ROUND	
OVERALL	BODY	SOLID	SOLID	
OVERALL	BODY	SOLID CORE	CORE	
OVERALL	BODY	SUPERSOLID CORE	CORE	
OVERALL	BODY	TIGHT CORE	CORE	
OVERALL	BODY	WEIGHT	WINE_WEIGHT	
OVERALL	BODY	WEIGHTLESS	LIGHT-BODIED	
OVERALL	BODY	WHITE	WHITE	
OVERALL	BODY	YELLOW	YELLOW	
OVERALL	BODY	YELLOW-GOLD	YELLOW-GOLD	
OVERALL	STRUCTURE	ARISTOCRATIC STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	BEAUTIFULLY STRUCTURED	WELL-STRUCTURED	
OVERALL	STRUCTURE	CONCENTRATED	CONCENTRATED	
OVERALL	STRUCTURE	CONCENTRATION	CONCENTRATED	
OVERALL	STRUCTURE	DEEPLY CONCENTRATED	CONCENTRATED	
OVERALL	STRUCTURE	DENSE STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	ELECTRIC STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	FINE STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	FIRM STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	FIRMLY CONCENTRATED	CONCENTRATED	
OVERALL	STRUCTURE	FIRMLY STRUCTURED	WELL-STRUCTURED	
OVERALL	STRUCTURE	GOOD STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	GREAT STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	HERMITAGE-LIKE STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	IMMENSE STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	IMPRESSIVE STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	INTENSE CONCENTRATION	CONCENTRATED	
OVERALL	STRUCTURE	IRON-CLAD STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	IRONCLAD STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	LOTS OF CONCENTRATION	CONCENTRATED	
OVERALL	STRUCTURE	MODERATELY FIRM STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	MUSCULAR STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	PLENTY OF STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	POWERFUL STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	POWERFULLY STRUCTURED	WELL-STRUCTURED	
OVERALL	STRUCTURE	PRECISE STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	RACY STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	SERIOUSLY STRUCTURED	WELL-STRUCTURED	
OVERALL	STRUCTURE	SOLID STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	STRUCTURED	WELL-STRUCTURED	
OVERALL	STRUCTURE	SUPERBLY CONCENTRATED	CONCENTRATED	
OVERALL	STRUCTURE	SUPERCONCENTRATED	CONCENTRATED	
OVERALL	STRUCTURE	TENSILE STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	ULTRACONCENTRATED	CONCENTRATED	
OVERALL	STRUCTURE	VIBRANT STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	VIVID STRUCTURE	WELL-STRUCTURED	
OVERALL	STRUCTURE	WELL-CONCENTRATED	CONCENTRATED	
OVERALL	STRUCTURE	WELL-STRUCTURED	WELL-STRUCTURED	
OVERALL	STRUCTURE	WONDERFUL CONCENTRATION	CONCENTRATED	
OVERALL	ACIDITY	ACIDITY	ACIDITY_LOW	
OVERALL	ACIDITY	ACIDITY DOMINATE	ACIDITY_HIGH	
OVERALL	ACIDITY	AMPLE ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	BALANCED ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	BEADED ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	BRIGHT ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	CRACKING ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	CRACKLING ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	CRISP ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	CRUNCHY ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	ELECTRIC ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	FINE ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	FINELY BEADED ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	FINELY HONED ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	FIRM ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	FRESH ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	GOOD ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	GREAT ACCIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	JUICY ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	KEEN ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	LIVELY ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	LOVELY ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	MODULATED ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	MOUTHWATERING ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	NATURAL ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	NICELY EMBEDDED ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	PLENTY OF ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	RACY ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	REFINED ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	REFRESHING ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	RIPE ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	RIVETING ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	TANGY ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	TINGLY ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	UNDERLYING ACIDITY	ACIDITY_LOW	
OVERALL	ACIDITY	VIBRANT ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	VIVACIOUS ACIDITY	ACIDITY_HIGH	
OVERALL	ACIDITY	WELL-EMBEDED ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	WELL-INTEGRATED ACIDITY	ACIDITY_MEDIUM	
OVERALL	ACIDITY	ZIPPY ACIDITY	ACIDITY_HIGH	
OVERALL	FINISH	AFTERTASTE	FINISH	
OVERALL	FINISH	AFTERTASTE DOES NOT QUIT	LONG FINISH	
OVERALL	FINISH	AFTERTASTE LINGERS	LONG FINISH	
OVERALL	FINISH	ALLURING FINISH	EXCELLENT FINISH	
OVERALL	FINISH	AMAZINGLY LONG FINISH	LONG FINISH	
OVERALL	FINISH	AROMATIC FINISH	EXCELLENT FINISH	
OVERALL	FINISH	ASSERTIVE FINISH	STRONG FINISH	
OVERALL	FINISH	AUTHORITATIVE FINISH	STRONG FINISH	
OVERALL	FINISH	BALANCED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	BEAUTIFUL FINISH	EXCELLENT FINISH	
OVERALL	FINISH	BEAUTIFULLY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	BEAUTIFULLY FORMED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	BIG FINISH	STRONG FINISH	
OVERALL	FINISH	BOLD FINISH	EXCELLENT FINISH	
OVERALL	FINISH	BRIGHT FINISH	EXCELLENT FINISH	
OVERALL	FINISH	BROAD AFTERTASTE	EXCELLENT FINISH	
OVERALL	FINISH	BROAD FINISH	EXCELLENT FINISH	
OVERALL	FINISH	CARESSING FINISH	EXCELLENT FINISH	
OVERALL	FINISH	CHEWY FINISH	STRONG FINISH	
OVERALL	FINISH	CLEAN FINISH	EXCELLENT FINISH	
OVERALL	FINISH	CLEANSING AFTERTASTE	EXCELLENT FINISH	
OVERALL	FINISH	COMPACT FINISH	EXCELLENT FINISH	
OVERALL	FINISH	COMPLEX AFTERTASTE	EXCELLENT FINISH	
OVERALL	FINISH	COMPLEX ENDING	STRONG FINISH	
OVERALL	FINISH	COMPLEX FINISH	STRONG FINISH	
OVERALL	FINISH	COMPLEXITY ON THE FINISH	STRONG FINISH	
OVERALL	FINISH	CONCENTRATED AFTERTASTE	EXCELLENT FINISH	
OVERALL	FINISH	CREAMY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	DEFTLY BALANCED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	DELICATE FINISH	WEAK FINISH	
OVERALL	FINISH	DELICIOUS FINISH	EXCELLENT FINISH	
OVERALL	FINISH	DENSE FINISH	STRONG FINISH	
OVERALL	FINISH	DETAILED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	DOMINATE FINISH	STRONG FINISH	
OVERALL	FINISH	DRIVEN FINISH	EXCELLENT FINISH	
OVERALL	FINISH	DRIVING FINISH	STRONG FINISH	
OVERALL	FINISH	DRY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	ELEGANT FINISH	EXCELLENT FINISH	
OVERALL	FINISH	ENDING	FINISH	
OVERALL	FINISH	ENERGETIC FINISH	STRONG FINISH	
OVERALL	FINISH	EXOTIC FINISH	EXCELLENT FINISH	
OVERALL	FINISH	EXPANSIVE FINISH	EXCELLENT FINISH	
OVERALL	FINISH	EXPRESSIVE FINISH	EXCELLENT FINISH	
OVERALL	FINISH	EXTENDED FINISH	LONG FINISH	
OVERALL	FINISH	EXTREMELY LONG FINISH	LONG FINISH	
OVERALL	FINISH	FANTASTIC FINISH	EXCELLENT FINISH	
OVERALL	FINISH	FASCINATING FINISH	EXCELLENT FINISH	
OVERALL	FINISH	FINE-GRAINED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	FINELY STITCHED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	FINISH	FINISH	
OVERALL	FINISH	FINISH ECHOES	LONG FINISH	
OVERALL	FINISH	FINISH EXPANDS	LONG FINISH	
OVERALL	FINISH	FINISH GOES ON AND ON	LONG FINISH	
OVERALL	FINISH	FINISH HANG	LONG FINISH	
OVERALL	FINISH	FINISH LINGERS	LONG FINISH	
OVERALL	FINISH	FINISH MELTS AWAY	EXCELLENT FINISH	
OVERALL	FINISH	FINISH PERSISTS	LONG FINISH	
OVERALL	FINISH	FINISH SAILS	LONG FINISH	
OVERALL	FINISH	FINISH SAILS ON	LONG FINISH	
OVERALL	FINISH	FINISH WITH NICE INTENSITY	STRONG FINISH	
OVERALL	FINISH	FINISHING	FINISH	
OVERALL	FINISH	FIRM FINISH	STRONG FINISH	
OVERALL	FINISH	FIRMING FINISH	STRONG FINISH	
OVERALL	FINISH	FLAVORFUL FINISH	EXCELLENT FINISH	
OVERALL	FINISH	FLESHY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	FOCUSED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	FRESH FINISH	EXCELLENT FINISH	
OVERALL	FINISH	FULL-BODIED ENDING	EXCELLENT FINISH	
OVERALL	FINISH	FULL-BODIED FINISH	STRONG FINISH	
OVERALL	FINISH	GENEROUS FINISH	EXCELLENT FINISH	
OVERALL	FINISH	GENTLY FINISH	WEAK FINISH	
OVERALL	FINISH	GOES ON AND ON	LONG FINISH	
OVERALL	FINISH	GORGEOUS FINISH	EXCELLENT FINISH	
OVERALL	FINISH	GRACEFUL FINISH	EXCELLENT FINISH	
OVERALL	FINISH	GRIP ON THE FINISH	STRONG FINISH	
OVERALL	FINISH	HARMONIOUS FINISH	EXCELLENT FINISH	
OVERALL	FINISH	IMPRESSIVE FINISH	EXCELLENT FINISH	
OVERALL	FINISH	INTEGRATED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	INTENSE AFTERTASTE	STRONG FINISH	
OVERALL	FINISH	INTENSE FINISH	STRONG FINISH	
OVERALL	FINISH	IRONCLAD FINISH	STRONG FINISH	
OVERALL	FINISH	JUICY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	LAST AND LAST	LONG FINISH	
OVERALL	FINISH	LASTING FINISH	LONG FINISH	
OVERALL	FINISH	LASTS FOR MINUTES	LONG FINISH	
OVERALL	FINISH	LAYERED ENDING	STRONG FINISH	
OVERALL	FINISH	LAYERED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	LENGTH OF FINISH	LONG FINISH	
OVERALL	FINISH	LESS INTENSE FINISH	WEAK FINISH	
OVERALL	FINISH	LIGHT-STEPPING FINISH	WEAK FINISH	
OVERALL	FINISH	LIGHTLY CHEWY FINISH	WEAK FINISH	
OVERALL	FINISH	LINGERING AFTERTASTE	LONG FINISH	
OVERALL	FINISH	LINGERING FINISH	LONG FINISH	
OVERALL	FINISH	LITHE FINISH	EXCELLENT FINISH	
OVERALL	FINISH	LIVELY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	LONG AFTERTASTE	LONG FINISH	
OVERALL	FINISH	LONG FINISH	LONG FINISH	
OVERALL	FINISH	LONG-LASTING FINISH	LONG FINISH	
OVERALL	FINISH	LOVELY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	LUSCIOUS FINISH	EXCELLENT FINISH	
OVERALL	FINISH	LUSH FINISH	EXCELLENT FINISH	
OVERALL	FINISH	LUXURIOUS FINISH	EXCELLENT FINISH	
OVERALL	FINISH	MEDIUM FINISH	WEAK FINISH	
OVERALL	FINISH	MOMENTUM OF FINISH	LONG FINISH	
OVERALL	FINISH	MOUTHFILLING FINISH	EXCELLENT FINISH	
OVERALL	FINISH	MOUTHWATERING FINISH	EXCELLENT FINISH	
OVERALL	FINISH	MULTIFACETED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	MUSCULAR FINISH	STRONG FINISH	
OVERALL	FINISH	NOT TANNIC FINISH	WEAK FINISH	
OVERALL	FINISH	NOT VERY LONG FINISH	WEAK FINISH	
OVERALL	FINISH	OPEN FINISH	EXCELLENT FINISH	
OVERALL	FINISH	OPEN-TEXTURED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	PERFUMED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	PERFUMED FINISHING	EXCELLENT FINISH	
OVERALL	FINISH	PERFUMY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	PERSISTENT AFTERTASTE	LONG FINISH	
OVERALL	FINISH	PERSISTENT FINISH	LONG FINISH	
OVERALL	FINISH	PERSISTING FINISH	LONG FINISH	
OVERALL	FINISH	PERSISTS FINISH	LONG FINISH	
OVERALL	FINISH	PERSISTS ON THE FINISH	LONG FINISH	
OVERALL	FINISH	POWERFUL FINISH	STRONG FINISH	
OVERALL	FINISH	PRECISE FINISH	EXCELLENT FINISH	
OVERALL	FINISH	PURE AFTERTASTE	EXCELLENT FINISH	
OVERALL	FINISH	PURE FINISH	EXCELLENT FINISH	
OVERALL	FINISH	RAPIER FINISH	STRONG FINISH	
OVERALL	FINISH	REFINED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	REFINEMENT FINISHING	EXCELLENT FINISH	
OVERALL	FINISH	REFRESHING AFTERTASTE	EXCELLENT FINISH	
OVERALL	FINISH	RESONANT FINISH	EXCELLENT FINISH	
OVERALL	FINISH	RICH AFTERTASTE	EXCELLENT FINISH	
OVERALL	FINISH	RICH FINISH	EXCELLENT FINISH	
OVERALL	FINISH	RICHLY DETAILED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	RICHLY FLAVORED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	RIPE AFTERTASTE	STRONG FINISH	
OVERALL	FINISH	RIPE-TASTING FINISH	EXCELLENT FINISH	
OVERALL	FINISH	RIVETING FINISH	EXCELLENT FINISH	
OVERALL	FINISH	ROUND FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SATISFYING FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SATURATED AFTERTASTE	STRONG FINISH	
OVERALL	FINISH	SAVORY AFTERTASTE	EXCELLENT FINISH	
OVERALL	FINISH	SAVORY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SCULPTED FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SEAMLESS FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SILKY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SLEEK FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SMOLDERING FINISH	STRONG FINISH	
OVERALL	FINISH	SMOOTH AFTERTASTE	EXCELLENT FINISH	
OVERALL	FINISH	SMOOTH FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SMOULDERING FINISH	STRONG FINISH	
OVERALL	FINISH	SNAPPY FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SOFT-TEXTURED FINISH	WEAK FINISH	
OVERALL	FINISH	SPINNING FINISH	EXCELLENT FINISH	
OVERALL	FINISH	STRONG FINISH	STRONG FINISH	
OVERALL	FINISH	STRUCTURED FINISH	STRONG FINISH	
OVERALL	FINISH	STYLISH FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SUAVE FINISH	EXCELLENT FINISH	
OVERALL	FINISH	SUBTLE FINISH	WEAK FINISH	
OVERALL	FINISH	SUCCULENT AFTERTASTE	EXCELLENT FINISH	
